,team,period,minute,is_goal,x,y
466,chelsea,1,30,0,54.2,16.3
467,chelsea,1,30,0,79.7,25.6
468,crystal palace,1,30,0,4.6,48.8
469,crystal palace,1,30,0,9.2,75.3
471,chelsea,1,30,0,39.5,29.0
472,chelsea,1,30,0,42.8,50.4
473,chelsea,1,30,0,16.3,47.0
474,chelsea,1,30,0,23.3,67.2
475,chelsea,1,30,0,33.5,67.2
476,chelsea,1,30,0,54.7,88.1
477,chelsea,1,30,0,62.5,66.3
478,chelsea,1,30,0,59.7,54.3
479,chelsea,1,31,0,67.4,7.0
480,chelsea,1,31,0,92.1,16.9
482,crystal palace,1,31,0,10.4,49.9
484,crystal palace,1,31,0,15.8,52.7
485,crystal palace,1,31,0,15.0,72.4
487,crystal palace,1,31,0,30.5,72.0
488,crystal palace,1,31,0,39.9,85.4
489,crystal palace,1,31,0,57.2,73.6
492,crystal palace,1,32,0,58.7,77.3
495,crystal palace,1,32,0,86.7,29.7
499,chelsea,1,32,0,45.8,5.0
503,crystal palace,1,33,0,43.6,89.4
504,crystal palace,1,33,0,59.0,77.1
505,crystal palace,1,33,0,56.4,82.0
506,crystal palace,1,33,0,56.2,95.6
508,crystal palace,1,33,0,43.1,73.5
509,crystal palace,1,33,0,35.2,85.4
510,crystal palace,1,33,0,41.1,71.5
511,crystal palace,1,33,0,34.0,36.4
512,crystal palace,1,33,0,30.3,52.2
513,crystal palace,1,33,0,12.3,45.7
516,crystal palace,1,33,0,59.0,14.3
518,chelsea,1,33,0,40.3,60.9
519,chelsea,1,33,0,31.4,71.3
520,chelsea,1,33,0,9.9,63.6
521,chelsea,1,33,0,18.7,93.0
522,chelsea,1,33,0,12.0,86.7
523,chelsea,1,33,0,5.9,54.9
524,chelsea,1,33,0,22.5,41.5
525,chelsea,1,33,0,28.3,73.1
527,crystal palace,1,33,0,58.1,22.7
529,chelsea,1,33,0,38.8,72.8
531,chelsea,1,34,0,37.3,71.4
532,chelsea,1,34,0,37.2,42.5
533,chelsea,1,34,0,35.8,63.2
534,chelsea,1,34,0,37.8,34.1
535,chelsea,1,34,0,41.9,21.2
536,chelsea,1,34,0,31.2,54.2
537,chelsea,1,35,0,60.4,85.5
538,chelsea,1,35,0,71.7,87.6
539,chelsea,1,35,0,60.9,74.1
540,chelsea,1,35,0,55.7,55.4
541,chelsea,1,35,0,59.5,18.7
542,chelsea,1,35,0,69.8,26.6
543,chelsea,1,35,0,65.1,35.0
544,chelsea,1,35,0,57.9,20.0
545,chelsea,1,35,0,49.7,46.1
546,chelsea,1,35,0,54.2,75.8
547,chelsea,1,35,0,44.8,48.1
548,chelsea,1,35,0,42.4,32.8
549,chelsea,1,35,0,21.3,44.3
550,chelsea,1,35,0,26.5,62.4
551,chelsea,1,35,0,21.3,40.3
552,chelsea,1,35,0,41.6,51.5
553,chelsea,1,35,0,85.4,24.7
555,crystal palace,1,36,0,13.0,87.7
556,crystal palace,1,36,0,30.6,89.6
557,crystal palace,1,36,0,69.8,95.4
558,crystal palace,1,36,0,65.1,76.7
561,chelsea,1,36,0,11.0,28.3
562,chelsea,1,36,0,26.3,16.6
563,chelsea,1,36,0,26.4,30.1
564,chelsea,1,36,0,30.2,58.8
565,chelsea,1,36,0,38.8,83.4
566,chelsea,1,36,0,35.6,64.1
567,chelsea,1,36,0,35.6,33.7
568,chelsea,1,36,0,38.6,13.6
569,chelsea,1,36,0,35.2,29.9
570,chelsea,1,36,0,34.5,59.3
571,chelsea,1,36,0,52.5,94.1
572,chelsea,1,36,0,55.8,79.5
573,chelsea,1,36,0,86.1,84.3
577,crystal palace,1,37,0,7.4,46.9
578,crystal palace,1,37,0,8.4,31.6
579,crystal palace,1,37,0,9.3,48.1
580,crystal palace,1,37,0,39.2,5.9
581,crystal palace,1,37,0,41.0,15.8
582,crystal palace,1,37,0,46.1,5.0
583,crystal palace,1,37,0,40.9,27.7
584,crystal palace,1,37,0,75.6,80.5
585,crystal palace,1,37,0,66.1,75.1
586,crystal palace,1,37,0,64.7,63.0
587,crystal palace,1,37,0,57.6,68.7
588,crystal palace,1,37,0,59.9,90.6
589,crystal palace,1,37,0,59.3,68.4
592,chelsea,1,37,0,38.8,25.1
593,chelsea,1,38,0,75.3,74.7
596,crystal palace,1,38,0,56.3,74.8
597,crystal palace,1,38,0,47.4,72.4
598,crystal palace,1,38,0,42.1,65.8
599,crystal palace,1,38,0,50.8,65.2
600,crystal palace,1,38,0,61.3,33.9
601,crystal palace,1,38,0,71.9,63.4
602,crystal palace,1,38,0,94.4,71.1
605,crystal palace,1,38,0,46.1,69.3
606,crystal palace,1,38,0,57.8,77.5
607,crystal palace,1,38,0,64.1,60.9
608,crystal palace,1,38,0,52.5,66.0
609,crystal palace,1,38,0,60.6,79.0
610,crystal palace,1,38,0,48.5,66.3
611,crystal palace,1,38,0,47.7,44.9
612,crystal palace,1,38,0,53.2,20.3
613,crystal palace,1,39,0,35.6,62.3
614,crystal palace,1,39,0,44.0,96.6
615,crystal palace,1,39,0,60.4,80.2
616,crystal palace,1,39,0,61.7,89.4
617,crystal palace,1,39,0,55.1,74.5
618,crystal palace,1,39,0,44.7,45.7
619,crystal palace,1,39,0,62.6,5.9
620,crystal palace,1,39,0,47.7,13.1
621,crystal palace,1,39,0,64.0,18.2
622,crystal palace,1,39,0,63.0,6.7
623,crystal palace,1,39,0,69.1,16.1
626,chelsea,1,39,0,33.1,83.4
627,chelsea,1,39,0,19.2,86.4
628,chelsea,1,39,0,27.3,94.2
629,chelsea,1,39,0,20.3,83.0
630,chelsea,1,39,0,25.8,75.2
631,chelsea,1,39,0,25.6,92.6
633,chelsea,1,39,0,23.0,87.9
634,chelsea,1,39,0,17.3,49.4
635,chelsea,1,39,0,29.3,57.2
636,chelsea,1,40,0,26.7,72.0
637,chelsea,1,40,0,33.3,92.4
638,chelsea,1,40,0,33.2,66.8
639,chelsea,1,40,0,32.5,35.9
640,chelsea,1,40,0,33.1,82.2
641,chelsea,1,40,0,52.9,93.8
642,chelsea,1,40,0,54.4,75.8
644,crystal palace,1,40,0,32.1,15.0
645,crystal palace,1,40,0,34.1,23.7
646,crystal palace,1,40,0,27.1,63.6
647,crystal palace,1,40,0,23.3,33.6
648,crystal palace,1,40,0,43.3,38.3
649,chelsea,1,40,0,25.6,21.5
651,chelsea,1,40,0,8.1,38.8
652,chelsea,1,40,0,25.4,37.3
653,chelsea,1,40,0,31.8,9.7
654,chelsea,1,40,0,40.5,12.4
655,chelsea,1,40,0,58.3,50.0
656,chelsea,1,40,0,89.0,87.9
658,chelsea,1,41,0,90.3,50.7
661,crystal palace,1,41,0,11.9,46.1
664,crystal palace,1,41,0,44.1,4.6
665,chelsea,1,41,0,42.2,71.6
667,chelsea,1,41,0,35.2,39.5
668,chelsea,1,41,0,36.4,61.8
669,chelsea,1,41,0,43.4,90.3
670,chelsea,1,41,0,36.3,67.8
671,chelsea,1,41,0,36.2,41.2
672,chelsea,1,41,0,37.2,65.6
673,chelsea,1,41,0,52.7,91.1
674,chelsea,1,41,0,38.3,73.4
675,chelsea,1,42,0,45.3,57.5
676,crystal palace,1,42,0,5.6,47.3
677,crystal palace,1,42,0,35.8,33.3
678,crystal palace,1,42,0,38.6,6.4
679,chelsea,1,42,0,39.3,70.8
682,crystal palace,1,42,0,27.6,44.0
684,chelsea,1,42,0,60.2,66.5
685,chelsea,1,42,0,59.9,90.3
686,chelsea,1,42,0,67.0,73.2
688,chelsea,1,43,0,88.1,100.0
689,chelsea,1,43,0,96.3,90.9
690,chelsea,1,43,0,89.7,96.3
694,chelsea,1,43,0,78.7,64.1
695,chelsea,1,43,0,74.1,44.3
699,chelsea,1,43,0,61.1,59.9
700,chelsea,1,43,0,65.9,62.6
701,chelsea,1,43,0,42.4,45.8
702,chelsea,1,43,0,43.6,63.8
703,chelsea,1,43,0,46.2,83.6
704,chelsea,1,43,0,59.3,91.5
705,chelsea,1,43,0,37.4,85.5
706,chelsea,1,43,0,21.9,41.8
707,chelsea,1,43,0,27.8,64.7
708,chelsea,1,43,0,23.8,35.6
709,chelsea,1,43,0,31.4,66.6
710,chelsea,1,44,0,48.2,94.7
711,chelsea,1,44,0,45.9,68.4
712,chelsea,1,44,0,47.6,8.9
713,chelsea,1,44,0,43.4,33.5
714,chelsea,1,44,0,36.8,57.0
717,crystal palace,1,44,0,52.9,48.2
718,crystal palace,1,44,0,77.2,17.3
722,chelsea,1,44,0,30.1,94.4
724,chelsea,1,44,0,30.5,100.0
725,chelsea,1,44,0,38.6,62.6
726,chelsea,1,44,0,43.5,22.3
727,chelsea,1,44,0,53.3,44.5
728,chelsea,1,44,0,78.3,91.7
732,crystal palace,1,45,0,4.6,41.3
735,chelsea,1,45,0,31.6,59.0
736,crystal palace,1,45,0,55.9,27.6
737,crystal palace,1,45,0,47.4,53.9
741,crystal palace,1,45,0,68.9,42.6
743,crystal palace,1,47,0,71.5,47.4
744,chelsea,1,48,0,3.7,54.6
745,chelsea,2,45,0,50.1,50.1
746,chelsea,2,45,0,18.3,49.4
749,crystal palace,2,45,0,25.9,28.9
750,chelsea,2,45,0,63.2,74.0
752,chelsea,2,45,0,66.0,100.0
753,chelsea,2,45,0,45.8,77.4
754,chelsea,2,45,0,45.5,33.8
755,chelsea,2,45,0,49.1,69.5
756,chelsea,2,45,0,62.1,92.9
758,crystal palace,2,45,0,36.4,19.7
761,chelsea,2,45,0,61.1,75.3
762,chelsea,2,45,0,41.8,66.5
763,chelsea,2,45,0,43.3,46.7
764,chelsea,2,45,0,43.8,67.5
765,chelsea,2,45,0,55.5,32.2
767,chelsea,2,45,0,67.0,7.2
769,crystal palace,2,46,0,23.0,68.1
770,chelsea,2,46,0,72.3,27.5
771,chelsea,2,46,0,64.0,59.1
772,chelsea,2,46,0,67.3,72.9
773,chelsea,2,46,0,53.4,53.9
774,chelsea,2,46,0,56.1,36.2
775,chelsea,2,46,0,52.6,56.0
776,chelsea,2,46,0,59.3,52.7
777,chelsea,2,46,0,54.1,74.6
778,chelsea,2,46,0,60.5,87.2
779,chelsea,2,46,0,68.8,70.8
780,chelsea,2,46,0,63.4,88.8
781,chelsea,2,46,0,86.6,88.2
783,chelsea,2,46,0,75.8,85.1
784,chelsea,2,46,0,67.0,71.3
785,chelsea,2,46,0,67.8,58.1
786,chelsea,2,46,0,72.9,50.6
788,chelsea,2,47,0,72.8,47.8
792,chelsea,2,48,0,99.5,0.5
795,chelsea,2,48,0,91.9,56.7
799,chelsea,2,49,0,99.5,99.5
805,chelsea,2,49,0,66.1,34.3
806,chelsea,2,49,0,54.8,66.3
807,chelsea,2,49,0,57.6,84.9
810,crystal palace,2,50,0,5.0,51.8
813,chelsea,2,50,0,51.5,89.7
814,crystal palace,2,50,0,37.4,36.0
815,crystal palace,2,50,0,46.2,57.8
816,crystal palace,2,50,0,32.9,66.3
817,crystal palace,2,50,0,40.6,76.7
818,crystal palace,2,50,0,44.4,68.1
820,crystal palace,2,50,0,47.2,58.1
821,crystal palace,2,50,0,44.2,14.9
822,crystal palace,2,50,0,49.4,40.4
824,chelsea,2,50,0,9.1,63.8
825,chelsea,2,50,0,33.1,36.1
826,chelsea,2,50,0,88.0,23.3
828,crystal palace,2,51,0,12.4,45.8
829,crystal palace,2,51,0,22.9,85.7
830,crystal palace,2,51,0,35.4,81.8
831,crystal palace,2,51,0,34.2,96.9
833,chelsea,2,51,0,30.6,34.3
834,chelsea,2,51,0,26.3,61.1
835,chelsea,2,51,0,35.4,56.0
836,chelsea,2,51,0,76.6,73.2
838,chelsea,2,51,0,82.3,62.4
841,crystal palace,2,51,0,26.7,44.2
842,crystal palace,2,51,0,30.3,27.9
843,crystal palace,2,51,0,37.6,5.2
844,crystal palace,2,51,0,32.7,7.7
845,crystal palace,2,51,0,40.1,29.5
846,crystal palace,2,51,0,48.5,47.6
847,crystal palace,2,51,0,70.0,92.9
848,crystal palace,2,51,0,65.4,69.4
849,crystal palace,2,51,0,71.8,36.8
851,crystal palace,2,52,0,72.4,47.9
852,crystal palace,2,52,0,94.2,29.7
