period,minute,second,player_name,is_successful,x,y,end_x,end_y,position,pass_receiver,pass_receiver_position,formation
1,3,45,levi colwill,1,40.5,65.0,42.6,45.7,LCB,moises caicedo,RCDM,4231
1,3,48,moises caicedo,1,42.6,45.7,54.2,16.9,RCDM,wesley fofana,RCB,4231
1,3,51,wesley fofana,1,59.5,12.7,64.3,1.1,RCB,noni madueke,RM,4231
1,3,57,noni madueke,1,48.4,8.9,30.8,41.2,RM,robert sanchez,GK,4231
1,4,1,robert sanchez,1,30.8,41.2,40.0,63.5,GK,levi colwill,LCB,4231
1,4,6,levi colwill,1,56.6,70.7,61.7,89.0,LCB,marc cucurella,LB,4231
1,4,7,marc cucurella,1,61.8,89.1,52.4,79.4,LB,levi colwill,LCB,4231
1,4,14,levi colwill,1,44.1,68.7,47.2,88.4,LCB,marc cucurella,LB,4231
1,4,15,marc cucurella,0,47.2,88.4,57.2,100.0,LB,,,4231
1,4,47,malo gusto,1,60.5,17.9,64.6,29.0,RB,enzo fernandez,LCDM,4231
1,4,48,enzo fernandez,1,64.6,29.0,70.7,23.8,LCDM,cole palmer,CAM,4231
1,4,49,cole palmer,0,70.7,23.8,67.3,36.5,CAM,,,4231
1,6,11,malo gusto,1,58.8,0.0,41.7,12.5,RB,wesley fofana,RCB,4231
1,6,14,wesley fofana,1,43.2,19.6,40.1,42.8,RCB,levi colwill,LCB,4231
1,6,22,levi colwill,1,42.3,61.4,42.0,32.9,LCB,moises caicedo,RCDM,4231
1,6,25,moises caicedo,1,42.3,34.3,42.7,66.6,RCDM,levi colwill,LCB,4231
1,6,31,levi colwill,1,57.9,68.3,73.0,89.4,LCB,marc cucurella,LB,4231
1,6,33,marc cucurella,0,73.0,89.4,86.2,87.3,LB,,,4231
1,6,48,marc cucurella,1,80.9,100.0,93.2,81.0,LB,enzo fernandez,LCDM,4231
1,6,57,moises caicedo,0,65.2,87.2,79.2,86.0,RCDM,,,4231
1,7,3,marc cucurella,1,64.6,82.1,72.2,94.5,LB,pedro neto,LM,4231
1,7,57,wesley fofana,1,38.7,9.5,31.4,30.1,RCB,levi colwill,LCB,4231
1,7,59,levi colwill,1,30.1,38.6,34.6,67.5,LCB,marc cucurella,LB,4231
1,8,1,marc cucurella,1,34.6,67.5,41.4,85.2,LB,enzo fernandez,LCDM,4231
1,8,2,enzo fernandez,1,41.4,85.2,29.4,85.7,LCDM,marc cucurella,LB,4231
1,8,5,marc cucurella,1,29.4,85.7,26.6,65.7,LB,levi colwill,LCB,4231
1,8,7,levi colwill,1,28.8,65.0,30.6,31.1,LCB,moises caicedo,RCDM,4231
1,8,10,moises caicedo,1,31.0,31.3,31.7,59.1,RCDM,levi colwill,LCB,4231
1,8,12,levi colwill,1,31.6,59.6,33.2,29.3,LCB,moises caicedo,RCDM,4231
1,8,18,moises caicedo,1,38.0,30.8,45.2,9.5,RCDM,wesley fofana,RCB,4231
1,8,20,wesley fofana,1,45.2,9.5,54.1,19.0,RCB,malo gusto,RB,4231
1,8,21,malo gusto,0,54.1,16.8,59.5,0.0,RB,,,4231
1,9,0,moises caicedo,1,40.3,29.6,44.5,14.0,RCDM,wesley fofana,RCB,4231
1,9,1,wesley fofana,1,44.5,14.0,39.2,33.5,RCB,moises caicedo,RCDM,4231
1,9,2,moises caicedo,1,39.1,33.5,40.9,54.9,RCDM,levi colwill,LCB,4231
1,9,30,levi colwill,0,39.2,56.0,86.2,33.2,LCB,,,4231
1,9,35,noni madueke,1,71.6,46.9,76.2,61.2,RM,enzo fernandez,LCDM,4231
1,9,35,enzo fernandez,1,76.2,61.4,71.5,55.2,LCDM,noni madueke,RM,4231
1,9,41,noni madueke,1,73.2,23.9,73.3,7.7,RM,malo gusto,RB,4231
1,9,42,malo gusto,1,73.3,7.7,89.7,13.7,RB,noni madueke,RM,4231
1,9,45,noni madueke,0,90.2,16.1,88.0,40.4,RM,,,4231
1,9,50,malo gusto,1,73.8,16.0,61.5,34.9,RB,levi colwill,LCB,4231
1,9,53,levi colwill,1,61.5,34.9,63.3,13.7,LCB,moises caicedo,RCDM,4231
1,9,55,moises caicedo,1,63.3,13.7,70.4,5.8,RCDM,noni madueke,RM,4231
1,9,57,noni madueke,1,70.4,6.2,58.2,14.3,RM,moises caicedo,RCDM,4231
1,9,59,moises caicedo,1,58.2,14.3,58.1,78.6,RCDM,marc cucurella,LB,4231
1,10,5,marc cucurella,1,61.5,79.7,55.6,67.4,LB,levi colwill,LCB,4231
1,10,8,levi colwill,1,57.9,67.8,62.7,88.4,LCB,marc cucurella,LB,4231
1,10,10,marc cucurella,1,62.7,88.4,70.1,93.8,LB,pedro neto,LM,4231
1,10,13,pedro neto,0,64.7,90.3,71.7,69.2,LM,,,4231
1,10,23,levi colwill,1,35.5,62.1,42.7,39.2,LCB,malo gusto,RB,4231
1,10,25,malo gusto,1,42.3,40.4,47.3,28.1,RB,cole palmer,CAM,4231
